specification,N,routes,treated_routes,control_routes,quarters,df_resid,b,se,p,lo,hi,percent,percent_lo,percent_hi
"A Original arithmetic fares, old groups, partial demeaning",596497,32226,12,32214,24,596472,0.050059670494332985,0.022215003547288763,0.024232857735636097,0.006519063625217467,0.0936002773634485,5.1333828113621065,0.6540358970579206,9.812071447037575
"B Same observations/outcome/groups, correct TWFE",596497,32226,12,32214,24,564247,0.04897678400756367,0.02284308664684345,0.03203611476559067,0.004203475208364581,0.09375009280676275,5.019596911533179,0.4212322201974264,9.828524223611902
"C Same observations/groups, passenger-weighted market fare",596497,32226,12,32214,24,564247,0.019511162066840074,0.025804790462988714,0.44959105186225284,-0.031067197581315202,0.07008952171499536,1.9702748787374338,-3.0589571148837242,7.260419832369116
D Add 2007 four-quarter and >=100 pax eligibility,132430,5535,12,5523,24,126871,0.004757099722505358,0.025685953054238566,0.8530770868095595,-0.04559745639070642,0.05511165583571713,0.4768432684941492,-4.45735143822666,5.665859018699957
E Change treatment to empirical 2007 material overlap,132430,5535,156,5379,24,126871,-0.00851541822029176,0.008920447148061516,0.33982401618114055,-0.02600299812528895,0.008972161684705427,-0.8479264740006893,-2.5667831565543713,0.9012532173879225
F Restrict controls to 2007 unexposed legacy routes (main),6259,261,156,105,24,5974,-0.058898457888606495,0.01888865234208276,0.0020242167637245143,-0.09609266993844107,-0.021704245838771917,-5.719750154693992,-9.16201673350432,-2.147040354078178
