event_quarter,printed_coefficient,printed_standard_error,source_pdf_page,status,rel_time,b,se,p,lo,hi,percent,percent_lo,percent_hi,coefficient_difference,standard_error_difference,coefficient_matches_printed_3dp
-8,-0.012,0.018,25,transcribed_not_verified_output,-8,0.05684564090202485,0.026672585035420842,0.03306949633713541,0.004568334858017997,0.1091229469460317,5.849240985104605,0.4578785607820075,11.529946457546727,0.06884564090202484,0.008672585035420843,False
-7,-0.007,0.017,25,transcribed_not_verified_output,-7,-0.010959012213048947,0.02455953088734143,0.6554366215901518,-0.05909480822943719,0.03717678380333929,-1.0899181001821776,-5.738260296588917,3.7876484373292425,-0.003959012213048947,0.007559530887341428,False
-6,-0.009,0.016,25,transcribed_not_verified_output,-6,-0.01483058248941666,0.023521154986157904,0.528353758545014,-0.06093119913707087,0.03127003415823754,-1.4721151046199739,-5.911202854645779,3.1764077816844565,-0.005830582489416661,0.007521154986157904,False
-5,-0.004,0.015,25,transcribed_not_verified_output,-5,-0.03386085766911833,0.027522443582621566,0.21858484785114107,-0.08780385585759214,0.020082140519355474,-3.329399499324384,-8.405948452789056,2.028514333644933,-0.02986085766911833,0.012522443582621567,False
-4,0.002,0.014,25,transcribed_not_verified_output,-4,-0.027204961509529477,0.02420457070632789,0.2610301319217575,-0.07464504835518536,0.020235125336126408,-2.6838239621366813,-7.192715114458144,2.0441243412323065,-0.029204961509529476,0.01020457070632789,False
-3,-0.001,0.014,25,transcribed_not_verified_output,-3,-0.07119642842262386,0.038628512337632745,0.06531359004857068,-0.14690692138074518,0.00451406453549745,-6.872105549396815,-13.662566463250611,0.4524268272477906,-0.07019642842262386,0.024628512337632746,False
-2,-0.003,0.013,25,transcribed_not_verified_output,-2,-0.013887274536510508,0.02266283660956025,0.5400235233712734,-0.05830561807876443,0.030531069005743414,-1.3791291168994195,-5.663840498206275,3.1001921755810127,-0.010887274536510508,0.009662836609560252,False
0,0.01,0.012,25,transcribed_not_verified_output,0,0.011199968216511848,0.016207963096963977,0.4895552385141405,-0.020567055716291825,0.04296699214931552,1.1262922670307465,-2.035699639131589,4.39034372731439,0.0011999682165118476,0.004207963096963977,False
1,0.015,0.014,25,transcribed_not_verified_output,1,0.016990250402521556,0.036526860315655434,0.6418283288240341,-0.05460108028448844,0.08858158108953156,1.7135405616113035,-5.313720514016852,9.262338638092354,0.0019902504025215567,0.022526860315655435,False
2,0.021,0.015,25,transcribed_not_verified_output,2,-0.023692177425601507,0.025908621916514257,0.36047966657740815,-0.07447214327103456,0.027087788419831546,-2.3413721202970206,-7.176666875684147,2.7457997718458165,-0.04469217742560151,0.010908621916514257,False
3,0.034,0.016,25,transcribed_not_verified_output,3,-0.0038076138038587934,0.02107542073413578,0.8566296790516759,-0.04511467940179363,0.037499451794076044,-0.3800374034083097,-4.411214510013722,3.821142792801395,-0.037807613803858796,0.005075420734135781,False
4,0.041,0.017,25,transcribed_not_verified_output,4,-0.024364251541576322,0.029154215667867817,0.40332227648954766,-0.0815054642481106,0.03277696116495796,-2.406983905835556,-7.827232670857054,3.3320043038833784,-0.06536425154157632,0.012154215667867816,False
5,0.062,0.019,25,transcribed_not_verified_output,5,0.08327461444394049,0.024712924758942593,0.0007525589610936551,0.03483817196376481,0.13171105692411617,8.684022959630031,3.5452130055697,14.077865154944519,0.021274614443940493,0.005712924758942594,False
6,0.071,0.021,25,transcribed_not_verified_output,6,0.09111491928360614,0.028407961351155066,0.0013395333725713331,0.0354363381611364,0.1467935004060759,9.539488002048593,3.6071687799669316,15.811478810248184,0.020114919283606147,0.0074079613511550645,False
7,0.083,0.022,25,transcribed_not_verified_output,7,0.06809725784434341,0.016290425476695593,2.9125114941540216e-05,0.036168610617186306,0.10002590507150051,7.0469414963841075,3.683065240966314,10.51995479781289,-0.014902742155656595,-0.005709574523304405,False
8,0.089,0.023,25,transcribed_not_verified_output,8,0.0632721123021687,0.017693738481116397,0.00034894416044152775,0.028593022127310123,0.09795120247702727,6.531668556998891,2.9005726684319373,10.290896456982852,-0.025727887697831298,-0.005306261518883602,False
