route,t,pax,revenue,records,fare_unweighted,dl,nw,dl_any,nw_any,dl_direct,nw_direct,legacy,direct_pax,distance,unknown_pax,fare,lnfare,direct_share,dl_active,nw_active,legacy_active,both_active,group,pax_pre,fare_pre,direct,distance_pre,treated,yr,qtr
ABQ-AUS,1,1178,195333.00135040277,20,153.50390243530273,2,0,9,0,0,0,307,592,613,0,165.8174884129056,5.110887716106747,0.5025466893039049,0,0,1,False,unexposed_legacy,1346.0,178.6368578951845,0.5359389400399522,613.0,0,2005,1
ABQ-AUS,2,1594,274041.99583435024,17,169.82901898552382,0,0,0,0,0,0,372,756,613,0,171.92095096257856,5.147034783743914,0.4742785445420326,0,0,1,False,unexposed_legacy,1346.0,178.6368578951845,0.5359389400399522,613.0,0,2005,2
ABQ-AUS,3,1656,293767.00008392363,19,170.13471623470903,0,0,0,0,0,0,354,757,613,0,177.3955314516447,5.178381880446868,0.4571256038647343,0,0,1,False,unexposed_legacy,1346.0,178.6368578951845,0.5359389400399522,613.0,0,2005,3
ABQ-AUS,4,1543,276255.0056762693,17,173.41945603314565,1,0,1,0,0,0,354,590,613,0,179.03759279084207,5.187595799381865,0.38237200259235254,0,0,1,False,unexposed_legacy,1346.0,178.6368578951845,0.5359389400399522,613.0,0,2005,4
ABQ-AUS,5,1333,242233.00445556646,15,195.8125172932942,0,0,0,0,0,0,364,606,613,0,181.72018338752173,5.202468050067018,0.45461365341335336,0,0,1,False,unexposed_legacy,1346.0,178.6368578951845,0.5359389400399522,613.0,0,2006,1
ABQ-AUS,6,1643,313323.0058288572,17,194.2754498650046,0,0,0,0,0,0,253,897,613,0,190.70176861159902,5.250710786876944,0.5459525258673159,0,0,1,False,unexposed_legacy,1346.0,178.6368578951845,0.5359389400399522,613.0,0,2006,2
ABQ-AUS,7,1596,314011.9968719482,19,223.765973542866,2,0,2,0,0,0,262,1012,613,0,196.74937147365173,5.281930692749344,0.6340852130325815,0,0,1,False,unexposed_legacy,1346.0,178.6368578951845,0.5359389400399522,613.0,0,2006,3
ABQ-AUS,8,1534,287161.99272155773,19,180.62422581722868,0,0,0,0,0,0,331,841,613,0,187.19816996190204,5.232167788151167,0.5482398956975228,0,0,1,False,unexposed_legacy,1346.0,178.6368578951845,0.5359389400399522,613.0,0,2006,4
ABQ-AUS,9,1423,246404.00088500947,20,176.8633895874024,0,0,0,0,0,0,373,820,613,0,173.1581172768865,5.154205149777818,0.5762473647224174,0,0,1,False,unexposed_legacy,1346.0,178.6368578951845,0.5359389400399522,613.0,0,2007,1
ABQ-AUS,10,1539,284885.00048065156,17,172.6142035091624,0,0,0,0,0,0,325,793,613,0,185.1104616508457,5.220952736895585,0.5152696556205328,0,0,1,False,unexposed_legacy,1346.0,178.6368578951845,0.5359389400399522,613.0,0,2007,2
ABQ-AUS,11,1213,214355.99876403826,19,183.81236186780424,0,0,0,0,0,0,250,559,613,0,176.71558018469767,5.174541548526904,0.460840890354493,0,0,1,False,unexposed_legacy,1346.0,178.6368578951845,0.5359389400399522,613.0,0,2007,3
ABQ-AUS,12,1209,217091.99641418463,18,175.87028164333768,0,0,0,0,0,0,270,715,613,0,179.5632724683082,5.1905276386769765,0.5913978494623656,0,0,1,False,unexposed_legacy,1346.0,178.6368578951845,0.5359389400399522,613.0,0,2007,4
ABQ-AUS,13,1128,186194.00115203822,20,181.2695804595947,0,0,0,0,0,0,223,619,613,0,165.06560385818992,5.106342994019532,0.5487588652482269,0,0,1,False,unexposed_legacy,1346.0,178.6368578951845,0.5359389400399522,613.0,0,2008,1
ABQ-AUS,14,1153,196755.99974060024,12,167.9801534016926,0,0,0,0,0,0,213,673,613,0,170.64700758074608,5.139597139779959,0.5836947094535994,0,0,1,False,unexposed_legacy,1346.0,178.6368578951845,0.5359389400399522,613.0,0,2008,2
ABQ-AUS,15,1349,258643.9969329833,18,183.15241665310327,0,0,0,0,0,0,313,593,613,0,191.73016822311587,5.256089009725815,0.4395848776871757,0,0,1,False,unexposed_legacy,1346.0,178.6368578951845,0.5359389400399522,613.0,0,2008,3
ABQ-AUS,16,1787,349804.99847412115,18,194.92768012152771,0,0,0,0,0,0,328,549,613,0,195.74985924685012,5.276837615825189,0.3072188024622272,0,0,1,False,unexposed_legacy,1346.0,178.6368578951845,0.5359389400399522,613.0,0,2008,4
ABQ-AUS,17,1527,261306.00071716317,14,163.21022033691406,0,0,0,0,0,0,363,290,613,0,171.1237725718161,5.142387110883495,0.1899148657498363,0,0,1,False,unexposed_legacy,1346.0,178.6368578951845,0.5359389400399522,613.0,0,2009,1
ABQ-AUS,18,1548,263128.0027923583,18,165.28372277153855,0,0,0,0,0,0,356,580,613,0,169.9793299692237,5.13567684124146,0.37467700258397935,0,0,1,False,unexposed_legacy,1346.0,178.6368578951845,0.5359389400399522,613.0,0,2009,2
ABQ-AUS,19,1716,294644.99400329596,21,157.81291998000376,0,0,0,0,0,0,393,391,613,0,171.70454195996268,5.145775220436277,0.22785547785547786,0,0,1,False,unexposed_legacy,1346.0,178.6368578951845,0.5359389400399522,613.0,0,2009,3
ABQ-AUS,20,1574,284524.00213623,22,197.30912988836107,0,0,0,0,0,0,263,604,613,0,180.76493147155654,5.1971974660450035,0.38373570520965694,0,0,1,False,unexposed_legacy,1346.0,178.6368578951845,0.5359389400399522,613.0,0,2009,4
