route,nq,pax_min,pax_pre,fare_pre,dl_q,nw_q,both_q,legacy_q,dl_any,nw_any,direct,distance,dl_direct,nw_direct,unknown_pax,group,eligible,direct_overlap,original_treated
ONT-SGU,3,1,3.3333333333333335,247.70000000000002,0,0,0,2,1,0,0.0,308.0,0,0,0,other,False,False,False
ONT-SHR,4,1,2.0,369.25,0,0,0,0,0,0,0.0,932.0,0,0,0,other,False,False,False
ONT-SHV,4,38,47.25,322.02776209623664,0,0,0,0,2,0,0.0,1377.0,0,0,0,other,False,False,False
ONT-SIT,4,2,27.0,275.80296707153326,0,0,0,4,0,0,0.0,1796.0,0,0,0,unexposed_legacy,False,False,False
ONT-SJC,4,8803,9671.25,90.54298114347849,0,0,0,0,0,0,0.9937761137696093,333.0,0,0,0,other,True,False,False
ONT-SJT,4,17,22.0,246.21709182658552,0,0,0,0,0,0,0.0,1012.0,0,0,0,other,False,False,False
ONT-SJU,4,2,8.0,173.90519191196967,3,0,0,3,7,0,0.0,0.0,0,0,0,other,False,False,False
ONT-SLC,4,3113,3315.5,148.60347569420705,4,0,0,0,3490,0,0.691417557745925,559.0,3471,0,0,other,True,False,False
ONT-SLE,3,2,5.666666666666667,196.7435905260918,0,0,0,0,2,0,0.0,804.0,0,0,0,other,False,False,False
ONT-SMF,4,16006,17294.5,94.7300545028026,0,0,0,0,0,0,0.9892593856686404,390.0,0,0,0,other,True,False,False
ONT-SOP,1,3,3.0,253.33332824707,0,0,0,0,3,0,0.0,2154.0,0,0,0,other,False,False,False
ONT-SOW,2,1,1.5,212.0,0,0,0,0,0,0,0.0,435.0,0,0,0,other,False,False,False
ONT-SPS,4,13,17.5,228.9470481872555,0,0,0,0,0,0,0.0,1095.0,0,0,0,other,False,False,False
ONT-SRQ,4,32,42.75,237.39164777542302,4,0,0,0,155,0,0.0,2124.0,0,0,0,other,False,False,False
ONT-STL,4,950,1102.0,221.5963422098982,0,0,0,4,113,0,0.12905930426438283,1545.0,0,0,0,other,True,False,False
ONT-STT,1,1,1.0,146.0,1,0,0,0,1,0,0.0,0.0,0,0,0,other,False,False,False
ONT-SUN,4,6,9.0,266.2756439333474,0,0,0,0,16,0,0.0,677.0,0,0,0,other,False,False,False
ONT-SUX,1,3,3.0,330.666656494141,0,0,0,0,0,0,0.0,1285.0,0,0,0,other,False,False,False
ONT-SWF,3,3,7.666666666666667,246.02222188313831,0,0,0,0,23,0,0.0,2408.0,0,0,0,other,False,False,False
ONT-SYR,4,94,134.75,238.5629803793611,2,0,0,0,203,0,0.0,2305.0,0,0,0,other,False,False,False
ONT-TEX,3,1,1.3333333333333333,278.0,0,0,0,0,0,0,0.0,610.0,0,0,0,other,False,False,False
ONT-TLH,4,57,65.0,260.8611107863782,4,0,0,0,193,0,0.0,1954.0,0,0,0,other,False,False,False
ONT-TOL,3,1,3.0,319.5555572509767,0,0,0,0,9,0,0.0,1906.0,0,0,0,other,False,False,False
ONT-TPA,4,862,989.5,207.42480732301524,4,0,0,4,637,0,0.02681471598065608,2111.0,5,0,0,other,True,False,False
ONT-TRI,4,18,22.0,376.8437041049533,0,0,0,0,88,0,0.0,1984.0,0,0,0,other,False,False,False
ONT-TTN,1,1,1.0,188.0,0,0,0,0,1,0,0.0,2375.0,0,0,0,other,False,False,False
ONT-TUL,4,442,502.75,200.2333651140326,0,0,0,4,103,0,0.05964932476901247,1235.0,0,0,0,other,True,False,False
ONT-TUP,1,2,2.0,633.0,0,0,0,0,2,0,0.0,1646.0,0,0,0,other,False,False,False
ONT-TUS,4,365,502.0,126.96352743080759,0,0,0,1,0,0,0.003922641853676336,408.0,0,0,0,other,True,False,False
ONT-TWF,4,10,12.25,230.54166552225746,1,0,0,0,29,0,0.0,607.0,0,0,0,other,False,False,False
ONT-TXK,4,4,10.75,352.4729185104372,0,0,0,0,0,0,0.0,1356.0,0,0,0,other,False,False,False
ONT-TYR,4,16,30.0,237.89961366521317,0,0,0,0,0,0,0.0,1288.0,0,0,0,other,False,False,False
ONT-TYS,4,78,95.0,353.2675489861519,4,0,0,0,164,0,0.0,1901.0,0,0,0,other,False,False,False
ONT-VCT,3,2,4.666666666666667,286.4476216634113,0,0,0,0,0,0,0.0,1271.0,0,0,0,other,False,False,False
ONT-VLD,4,3,8.25,326.60189056396473,0,0,0,0,33,0,0.0,2008.0,0,0,0,other,False,False,False
ONT-VPS,4,74,89.5,294.6827584265362,1,0,0,0,115,0,0.0,1812.0,0,0,0,other,False,False,False
ONT-WRG,1,2,2.0,463.0,0,0,0,1,0,0,0.0,1702.0,0,0,0,other,False,False,False
ONT-WRL,1,4,4.0,305.0,0,0,0,0,0,0,0.0,859.0,0,0,0,other,False,False,False
ONT-WYS,1,4,4.0,277.00000762939425,0,0,0,0,3,0,0.0,813.0,0,0,0,other,False,False,False
