route,nq,pax_min,pax_pre,fare_pre,dl_q,nw_q,both_q,legacy_q,dl_any,nw_any,direct,distance,dl_direct,nw_direct,unknown_pax,group,eligible,direct_overlap,original_treated
COS-RDU,4,349,414.0,188.85210654270855,4,4,4,4,184,206,0.0018752453018423018,1436.0,0,0,0,overlap,True,False,False
COS-TUL,4,107,155.0,185.89472615657337,0,0,0,4,0,0,0.0,516.0,0,0,0,unexposed_legacy,True,False,False
DCA-EWR,4,1891,2294.5,230.10348817033207,0,0,0,4,0,0,0.9977965278101499,199.0,0,0,0,unexposed_legacy,True,False,False
DCA-GEG,4,318,381.75,269.1264808685711,3,4,3,4,145,723,0.024339808206179085,2103.0,3,30,0,overlap,True,False,False
DCA-GPT,4,489,514.75,206.64261018636287,3,4,3,0,796,865,0.009424603174603174,899.0,19,0,0,overlap,True,False,False
DCA-HNL,4,529,584.75,490.9079844297144,4,3,3,4,455,167,0.0,4839.0,0,0,0,overlap,True,False,False
DCA-ILM,4,224,255.25,210.64781650388187,0,0,0,4,0,0,0.0011160714285714285,321.0,0,0,0,unexposed_legacy,True,False,False
DCA-LIT,4,895,992.25,189.31231703472676,4,4,4,0,930,1381,0.015840261283883845,888.0,8,56,0,overlap,True,False,False
DCA-PDX,4,1284,1535.25,254.05680221839066,4,4,4,4,626,519,0.03531816552927624,2348.0,125,10,0,overlap,True,False,False
DCA-PHL,4,204,238.5,132.5183807688728,0,0,0,4,0,0,0.995771576235749,119.0,0,0,0,unexposed_legacy,True,False,False
DCA-PVD,4,1990,2365.75,237.41029659390904,0,0,0,4,0,0,0.9790049310381461,357.0,0,0,0,unexposed_legacy,True,False,False
DCA-SNA,4,970,1109.75,234.5579709092678,4,3,3,4,645,257,0.055369020391124485,2286.0,0,2,0,overlap,True,False,False
DCA-VPS,4,475,526.0,280.1882744529067,4,4,4,0,1124,884,0.025654991189964366,807.0,54,0,0,overlap,True,False,False
DEN-ICT,4,790,989.25,201.37820678531153,0,0,0,4,0,0,0.9980353251950538,428.0,0,0,0,unexposed_legacy,True,False,False
DEN-LIH,4,486,578.0,385.3245679401944,0,0,0,4,0,0,0.03726888809257434,3403.0,0,0,0,unexposed_legacy,True,False,False
DEN-MFE,4,204,228.5,232.87839180064958,0,0,0,4,0,0,0.0,1015.0,0,0,0,unexposed_legacy,True,False,False
DEN-ORF,4,1084,1381.5,196.95431999992752,4,3,3,4,898,415,0.0077623464540220915,1562.0,27,0,0,overlap,True,False,False
DEN-RDU,4,3023,3397.75,184.06693117063116,4,3,3,4,1263,962,0.24310526178476416,1446.0,44,6,0,overlap,True,False,False
DFW-EGE,4,298,718.0,224.0718447370958,0,0,0,4,0,0,0.8532176933678242,722.0,0,0,0,unexposed_legacy,True,False,False
DFW-ELP,4,2363,2678.75,125.7480374053032,0,0,0,4,0,0,0.9865592893288488,553.0,0,0,0,unexposed_legacy,True,False,False
DFW-IAH,4,7248,7655.75,105.26809978339057,0,0,0,4,0,0,0.9842786151527032,225.0,0,0,0,unexposed_legacy,True,False,False
DFW-ICT,4,783,877.5,263.3915393773311,0,0,0,4,0,0,0.995143122417012,330.0,0,0,0,unexposed_legacy,True,False,False
DFW-KOA,4,141,161.75,433.66108577649527,0,0,0,4,0,0,0.0,3725.0,0,0,0,unexposed_legacy,True,False,False
DFW-LIH,4,161,228.5,442.3547165806424,0,0,0,4,0,0,0.0,3846.0,0,0,0,unexposed_legacy,True,False,False
DFW-MFE,4,1524,1888.25,143.35258017705357,0,0,0,4,0,0,0.9599480057702665,470.0,0,0,0,unexposed_legacy,True,False,False
DFW-OKC,4,974,1057.25,105.69316560559824,0,0,0,4,0,0,0.9992904332552066,176.0,0,0,0,unexposed_legacy,True,False,False
DFW-SAT,4,3275,3784.0,99.89003733353775,0,0,0,4,0,0,0.9698224305934382,247.0,0,0,0,unexposed_legacy,True,False,False
DFW-TUL,4,1547,1901.25,102.47267444607141,0,0,0,4,0,0,0.9855236625259619,238.0,0,0,0,unexposed_legacy,True,False,False
DFW-XNA,4,1038,1154.0,268.4198018300629,0,0,0,4,0,0,0.9945488753234839,281.0,0,0,0,unexposed_legacy,True,False,False
DTW-SAV,4,628,847.75,173.88771881865972,4,3,3,0,772,1402,0.37899060603640644,708.0,10,1119,0,overlap,True,False,False
DTW-SLC,4,1777,1901.25,238.40281443331742,4,4,4,4,2811,1301,0.3581814533122064,1479.0,2283,67,0,overlap,True,False,True
ELP-MFE,4,173,185.75,246.29941546672262,0,0,0,4,0,0,0.01878612716763006,628.0,0,0,0,unexposed_legacy,True,False,False
ELP-OKC,4,369,449.25,165.35498617205377,0,0,0,4,0,0,0.04162853155168554,564.0,0,0,0,unexposed_legacy,True,False,False
ELP-PHX,4,3982,4319.5,94.18669269507505,0,0,0,4,0,0,0.9932246347501701,346.0,0,0,0,unexposed_legacy,True,False,False
ELP-TUL,4,341,390.0,170.47137765980997,0,0,0,4,0,0,0.035371025538850596,675.0,0,0,0,unexposed_legacy,True,False,False
