rel_time,t,b,se,p,lo,hi,percent,percent_lo,percent_hi
-15,1,0.009690043578026386,0.030700051786847177,0.7525319676866442,-0.050762349500165505,0.07014243665621828,0.9737144062618764,-4.94954684296077,7.266095661346844
-14,2,-0.02651719577214555,0.032588656096763535,0.41656479157590104,-0.09068849626146908,0.03765410471717798,-2.6168702089551172,-8.669783636869955,3.8372002776505645
-13,3,-0.02076703057707842,0.03179549549927564,0.5142407200220275,-0.08337649473640545,0.04184243358224861,-2.0552880777953844,-7.999529492153469,4.273016654903624
-12,4,0.01846099852712798,0.029330532011019192,0.5296318064810832,-0.039294632070285926,0.07621662912454188,1.8632456228728353,-3.8532611716412304,7.919633419383891
-11,5,-0.03426781497231846,0.02925022897737931,0.24245423858634266,-0.09186531845683124,0.02332968851219431,-3.368732302274329,-8.777199845307381,2.3603954388061186
-10,6,0.044969290718173655,0.024970813866158306,0.07288147918413491,-0.004201488074000927,0.09414006951034823,4.599573763759726,-0.4192674171139522,9.871363141995454
-9,7,0.08224808988120892,0.02462137197027987,0.0009588958236035548,0.03376540761063963,0.1307307721517782,8.572513383936663,3.434192951945615,13.966091154998194
-8,8,0.054469792117484796,0.024428853092966333,0.026619521836496508,0.006366204544446807,0.10257337969052278,5.598057699471214,0.6386511895309213,10.801860498909837
-7,9,0.015408593177732487,0.024484602585879003,0.5296936640980213,-0.03280477239447195,0.06362195874993692,1.5527917635833384,-3.2272531735229157,6.5689448029192965
-6,10,0.04923162542332832,0.022478890200834836,0.02940354651053844,0.004967768286625443,0.09349548256003119,5.046363664786932,0.49801281059306596,9.800564315551757
-5,11,0.03854390864943809,0.019308337407578497,0.04695160484774219,0.0005232821451736716,0.07656453515370251,3.9296361455730295,0.05234190811597443,7.957185842493731
-4,12,0.0477575902828298,0.017377870554194597,0.006412277157814244,0.013538303980055927,0.08197687658560367,4.891635698608944,1.3630361783780753,8.543071067523965
-3,13,0.03673034540523302,0.01755083530965315,0.037336675505148346,0.002170469012961855,0.07129022179750419,3.7413239870937427,0.21728261859117484,7.389284775904098
-2,14,0.03295674637626834,0.010160461815332885,0.001334586594853501,0.012949476167700976,0.052964016584835696,3.3505835401981967,1.3033683722873624,5.439170382230685
0,16,-0.038348999208705964,0.011258485561784784,0.0007629549519129751,-0.060518420920813706,-0.016179577496598225,-3.7622986540768846,-5.87235703198721,-1.6049391198027205
1,17,-0.0824585699749541,0.02093670066935068,0.00010538758616163648,-0.12368565543434357,-0.04123148451556464,-7.915041211198957,-11.634242981579579,-4.039302991909526
2,18,-0.03342233146137956,0.021842009951186906,0.12718650540046753,-0.07643208858995318,0.00958742566719406,-3.286997610996857,-7.358417364236808,0.9633532262709403
3,19,-0.011774724409328988,0.020708229177679668,0.5701175826615626,-0.0525519197995566,0.02900247098089862,-1.1705673625575364,-5.119494199148151,2.9427138166783045
4,20,0.0009097448160129556,0.019627952003213982,0.9630673048277484,-0.03774024437802912,0.03955973401005503,0.09101587593461702,-3.7036956528690506,4.035264146407275
5,21,-0.04248415228371073,0.020838980093140187,0.042492915849686216,-0.08351881322453847,-0.001449491342883004,-4.159434605851059,-8.012621928353711,-0.14484413376922098
6,22,-0.015252337595719895,0.02077376234841592,0.4634813820268195,-0.05615857631865959,0.025653901127219797,-1.5136609814791628,-5.4610792337074425,2.5985794490828975
7,23,-0.06452461045660281,0.02556915271525557,0.012214811356278487,-0.11487359622871081,-0.014175624684494806,-6.248695864588531,-10.852117692959371,-1.407562360050958
8,24,-0.03309788950407333,0.022522506929097925,0.14289336797592725,-0.07744763364904747,0.011251854640900803,-3.2556147645240263,-7.452451309813142,1.131539484876704
